activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,950127,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCCCCCC(=O)NCc2cccc3ccccc23)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160871,,CHEMBL1160871,,0,,199308,=,1,0,=,,Relative affinity,,,16.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,16.0
,952795,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CNC(=O)CCCCOC1(C(=O)O)CC(O)C(NC(C)=O)C([C@H](O)[C@H](O)CO)O1,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160876,,CHEMBL1160876,,0,,199301,=,1,0,=,,Relative affinity,,,1.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,1.0
,954137,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCCCC(=O)NCc2ccccc2)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160870,,CHEMBL1160870,,0,,199307,=,1,0,=,,Relative affinity,,,16.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,16.0
,968254,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCCCC(=O)NCc2cc3ccccc3c3ccccc23)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160866,,CHEMBL1160866,,0,,199310,=,1,0,=,,Relative affinity,,,64.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,64.0
,969428,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCC(=O)NCc2cccc(C(=O)O)c2)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160875,,CHEMBL1160875,,0,,199304,=,1,0,=,,Relative affinity,,,16.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,16.0
,969429,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCC(=O)NNS(=O)(=O)c2cccc3c(N(C)C)cccc23)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160874,,CHEMBL1160874,,0,,199303,=,1,0,=,,Relative affinity,,,4.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,4.0
,969430,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCC(=O)NCc2ccc3ncccc3c2)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160869,,CHEMBL1160869,,0,,199306,=,1,0,=,,Relative affinity,,,8.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,8.0
,970694,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCCCCCC(=O)NCc2ccccc2)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160864,,CHEMBL1160864,,0,,199309,<,1,0,<,,Relative affinity,,,8.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,8.0
,971975,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCC(=O)NCc2cccc3ccccc23)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160865,,CHEMBL1160865,,0,,199314,=,1,0,=,,Relative affinity,,,32.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,32.0
,973217,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCCCC(=O)NCc2cccc3ccccc23)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160867,,CHEMBL1160867,,0,,199311,=,1,0,=,,Relative affinity,,,64.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,64.0
,974491,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCC(=O)NCc2cccc3ccccc23)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160517,,CHEMBL1160517,,0,,199305,=,1,0,=,,Relative affinity,,,8.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,8.0
,975702,[],CHEMBL696095,"Inhibition of influenza A, strain X-31, induced hemagglutinination of chicken erythrocytes",F,,,BAO_0000179,BAO_0000019,assay format,CC(=O)NC1C(O)CC(OCCCCC(=O)NCCNC(=O)OCc2ccccc2)(C(=O)O)OC1[C@H](O)[C@H](O)CO,,,CHEMBL1125780,J. Med. Chem.,1991,,CHEMBL1160872,,CHEMBL1160872,,0,,199312,=,1,0,=,,Relative affinity,,,4.0,CHEMBL4918,Influenza A virus (strain A/X-31 H3N2),Influenza A virus Hemagglutinin,132504,,,Relative affinity,,,,4.0
