molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,Activity
CHEMBL327097,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CO,IC50,4000000.0,nM,No
CHEMBL327097,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CO,IC50,10000000.0,nM,No
CHEMBL324455,CC(=O)Nc1c(O)cc(C(=O)O)cc1[N+](=O)[O-],IC50,750000.0,nM,No
CHEMBL324455,CC(=O)Nc1c(O)cc(C(=O)O)cc1[N+](=O)[O-],IC50,1000000.0,nM,No
CHEMBL321393,CC(=O)Nc1c(OC(C)=O)cc(C(=O)O)cc1[N+](=O)[O-],IC50,5000000.0,nM,No
CHEMBL321393,CC(=O)Nc1c(OC(C)=O)cc(C(=O)O)cc1[N+](=O)[O-],IC50,3000000.0,nM,No
CHEMBL109162,CC(=O)Nc1ccc(C(=O)O)cc1N,IC50,10000000.0,nM,No
CHEMBL109162,CC(=O)Nc1ccc(C(=O)O)cc1N,IC50,10000000.0,nM,No
CHEMBL111082,CC(=O)Nc1ccc(C(=O)O)cc1[N+](=O)[O-],IC50,5000000.0,nM,No
CHEMBL111082,CC(=O)Nc1ccc(C(=O)O)cc1[N+](=O)[O-],IC50,5000000.0,nM,No
CHEMBL55440,CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,IC50,10000.0,nM,Yes
CHEMBL55440,CC(=O)Nc1ccc(C(=O)O)cc1NC(=N)N,IC50,10000.0,nM,Yes
CHEMBL111756,CC(=O)Nc1cc([N+](=O)[O-])c(C(=O)O)c([N+](=O)[O-])c1O,IC50,1000000.0,nM,No
CHEMBL111756,CC(=O)Nc1cc([N+](=O)[O-])c(C(=O)O)c([N+](=O)[O-])c1O,IC50,3000000.0,nM,No
CHEMBL420491,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)C(O)CO,IC50,5000000.0,nM,No
CHEMBL420491,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)C(O)CO,IC50,4000000.0,nM,No
CHEMBL109781,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CCCN,IC50,10000000.0,nM,No
CHEMBL109781,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CCCN,IC50,10000000.0,nM,No
CHEMBL109005,CC(=O)Nc1c(N)cc(C(=O)O)cc1O,IC50,10000000.0,nM,No
CHEMBL109005,CC(=O)Nc1c(N)cc(C(=O)O)cc1O,IC50,10000000.0,nM,No
CHEMBL109939,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CN,IC50,5000000.0,nM,No
CHEMBL109939,CC(=O)Nc1ccc(C(=O)O)cc1NC(=O)CN,IC50,5000000.0,nM,No
CHEMBL109004,CC(=O)Nc1ccc(C(=O)O)cc1OC(C)=O,IC50,10000000.0,nM,No
CHEMBL109004,CC(=O)Nc1ccc(C(=O)O)cc1OC(C)=O,IC50,10000000.0,nM,No
